Name,volume,C11[GPa],C12,C13,C22,C23,C33,C44,C55,C66,B[GPa],G,E,Gv/GR,Ev/ER,B/G
MoB,506.3,425.3,227.6,259.9,515.5,189.9,450.5,188.3,68.7,220.8,304.9,130.15,341.5,1.221,1.191,2.34
VB,438.7,512.2,143.9,135.2,600.2,88.6,585,229.3,221.1,267,270.1,230.55,538.5,1.014,1.011,1.17
FeB,382.4,377.6,248.9,195.4,439.1,214.7,503.9,204.2,114.7,189.3,290.1,137.55,356.1,1.128,1.109,2.11
NbB,556.2,492.1,158.4,142.4,518.8,135.6,492.5,186.2,198.5,235,263.8,193.95,467.3,1.012,1.009,1.36
TiB,511.8,414.3,88.8,112.5,517.8,61.6,410.2,194.3,176.7,218.6,206.6,188.05,432.75,1.02,1.015,1.1
(Ti0.5Mo0.5)B,501.5,478.5,156.1,138.9,532.7,124.6,498.5,202.7,193.7,239.5,260.6,198.55,475,1.013,1.011,1.31
(Ti0.5V0.5)B,473.7,448.2,121.5,121,530.6,89.9,466.8,204.6,193,241.1,233.9,200.4,467.6,1.016,1.012,1.17
(Ti0.5Nb0.5)B,535,446.2,125.9,127.2,511.9,109,424.9,195.6,183,226.8,233,187.6,443.7,1.017,1.013,1.24
(Ti0.5Fe0.5)B,442,386.3,137.6,141.2,466.2,101.8,393.2,181.6,140.5,199.2,222.2,159.3,385.75,1.033,1.027,1.39
(Fe0.5V0.5)B,413.8,386.6,162.3,147.8,486.9,123.3,468.3,196.7,141.7,219.2,244.2,168.45,410.75,1.044,1.036,1.45
(Nb0.5V0.5)B,502.4,482.3,152.1,138.7,539.6,117.6,507.4,197.6,198.2,237.9,260.4,200.3,478.25,1.011,1.009,1.3
(Mo0.5V0.5)B,473.6,481.9,186.4,187.5,556.7,144.9,525.6,206.9,166.2,249.8,288.9,191.25,470,1.032,1.026,1.51
(Mo0.5Nb0.5)B,530.6,472.4,182.9,195.6,525.6,163.3,464.7,188.5,143,233.5,282.5,171.1,427.05,1.039,1.033,1.65
(Fe0.5Nb0.5)B,483.1,354.5,144.6,156.5,452,141.8,358.9,162.3,117.4,168,226.1,135,337.8,1.041,1.034,1.68